Post Url,Likes,Comments,Views,Post Date,Influencer,Video_id
https://www.instagram.com/washingtonkevinznkn/reel/DHdgPvARrVZ/,"9,433",23,3300000,3/22/2025,washingtonkevinznkn,DHdgPvARrVZ
https://www.instagram.com/washingtonkevinznkn/reel/DHQ03clxb1V/,257,0,527000,3/16/2025,washingtonkevinznkn,DHQ03clxb1V
https://www.instagram.com/washingtonkevinznkn/reel/DHECoKcRllu/,119,0,131000,3/11/2025,washingtonkevinznkn,DHECoKcRllu
https://www.instagram.com/washingtonkevinznkn/reel/DHiqY8suu1Q/,101,0,69500,3/24/2025,washingtonkevinznkn,DHiqY8suu1Q
https://www.instagram.com/gomezfvzrby/reel/DG5jzEiO-Uw/,33,0,60200,3/7/2025,gomezfvzrby,DG5jzEiO-Uw
https://www.instagram.com/gomezfvzrby/reel/DHQ3Q8SO-0F/,,,51800,3/16/2025,gomezfvzrby,DHQ3Q8SO-0F
https://www.instagram.com/gomezfvzrby/reel/DHLt4HjucxO/,42,0,34800,3/14/2025,gomezfvzrby,DHLt4HjucxO
https://www.instagram.com/dunlapharryq6ailp/reel/DHbLgYEMj8u/,42,0,18700,3/21/2025,dunlapharryq6ailp,DHbLgYEMj8u
https://www.instagram.com/dunlapharryq6ailp/reel/DHipA1qxz2k/,23,0,18500,3/24/2025,dunlapharryq6ailp,DHipA1qxz2k
https://www.instagram.com/gomezfvzrby/reel/DHTagkpuz35/,27,0,17400,3/17/2025,gomezfvzrby,DHTagkpuz35
https://www.instagram.com/gomezfvzrby/reel/DHV8CBnPq16/,8,0,14000,3/19/2025,gomezfvzrby,DHV8CBnPq16
https://www.instagram.com/gomezfvzrby/reel/DHdtz3pOT3u/,16,1,11900,3/22/2025,gomezfvzrby,DHdtz3pOT3u
https://www.instagram.com/gomezfvzrby/reel/DHJIWjJO52O/,6,0,10900,3/13/2025,gomezfvzrby,DHJIWjJO52O
https://www.instagram.com/gomezfvzrby/reel/DHGhqMMuxpf/,4,0,"7,795",3/12/2025,gomezfvzrby,DHGhqMMuxpf
https://www.instagram.com/washingtonkevinznkn/reel/DHkPrQtR93D/,30,0,"7,531",3/25/2025,washingtonkevinznkn,DHkPrQtR93D
https://www.instagram.com/dunlapharryq6ailp/reel/DHTLNrXRbCh/,10,0,"7,391",3/17/2025,dunlapharryq6ailp,DHTLNrXRbCh
https://www.instagram.com/dunlapharryq6ailp/reel/DHQ0zi9MZJ9/,9,0,"6,574",3/16/2025,dunlapharryq6ailp,DHQ0zi9MZJ9
https://www.instagram.com/gomezfvzrby/reel/DHBfaqXOxpU/,2,0,"6,183",3/10/2025,gomezfvzrby,DHBfaqXOxpU
https://www.instagram.com/washingtonkevinznkn/reel/DHLzf3MRRoN/,15,0,"4,951",3/14/2025,washingtonkevinznkn,DHLzf3MRRoN
https://www.instagram.com/washingtonkevinznkn/reel/DHqoyfARRGW/,26,0,"4,362",3/26/2025,washingtonkevinznkn,DHqoyfARRGW
https://www.instagram.com/rosepuqr1x/reel/DHTK8fQMjB-/,2,0,"3,882",3/17/2025,rosepuqr1x,DHTK8fQMjB-
https://www.instagram.com/washingtonkevinznkn/reel/DHYoH9-RCMu/,10,0,"3,755",3/20/2025,washingtonkevinznkn,DHYoH9-RCMu
https://www.instagram.com/gomezfvzrby/reel/DHi0Q8cuxNP/,9,0,"3,509",3/24/2025,gomezfvzrby,DHi0Q8cuxNP
https://www.instagram.com/traceyhemmings669jg/reel/DHYwCWFxTMA/,17,0,"3,432",3/20/2025,traceyhemmings669jg,DHYwCWFxTMA
https://www.instagram.com/sallypullman4093gy/reel/DHEH5IDOaNZ/,1,0,"3,149",3/11/2025,sallypullman4093gy,DHEH5IDOaNZ
https://www.instagram.com/traceyhemmings669jg/reel/DHLshMJxOa6/,4,0,"3,014",3/14/2025,traceyhemmings669jg,DHLshMJxOa6
