Post Url,Likes,Comments,Views,Post Date,Influencer,Video_id
https://www.youtube.com//shorts/BNyRYuomAAE,60000,298,6710000,2025/3/11,@MargaretPerez-s5h,BNyRYuomAAE
https://www.youtube.com//shorts/fz2Ysh7o6O8,2818,25,300000,2025/3/7,@EdwardHill-q5i,fz2Ysh7o6O8
https://www.youtube.com//shorts/bxzCBI93zfs,2003,11,200000,2025/3/11,@EdwardHill-q5i,bxzCBI93zfs
https://www.youtube.com//shorts/r9-L7izgGyQ,531,3,66000,2025/3/10,@EdwardHill-q5i,r9-L7izgGyQ
https://www.youtube.com//shorts/SU75wpzhbmA,398,5,56000,2025/3/14,@MargaretPerez-s5h,SU75wpzhbmA
https://www.youtube.com//shorts/gmir93YV5DA,223,0,29000,2025/3/21,@MargaretPerez-s5h,gmir93YV5DA
https://www.youtube.com//shorts/SBkoLQp3F1Y,257,0,24000,2025/3/17,@MargaretPerez-s5h,SBkoLQp3F1Y
https://www.youtube.com//shorts/1w1XXv_n5RU,113,0,24000,2025/3/4,@KennethWright-j9t,1w1XXv_n5RU
https://www.youtube.com//shorts/xKejpG8csVk,238,2,24000,2025/3/4,@MargaretPerez-s5h,xKejpG8csVk
https://www.youtube.com//shorts/v15tTU1vf5c,176,2,20000,2025/3/14,@LauraJones-d2d6k,v15tTU1vf5c
https://www.youtube.com//shorts/xdPFfGlDTto,138,1,19000,2025/3/13,@LauraJones-d2d6k,xdPFfGlDTto
https://www.youtube.com//shorts/md0IJEm0ZF8,208,1,18000,2025/3/12,@JenniferPerez-r8e,md0IJEm0ZF8
https://www.youtube.com//shorts/cZ2GFRKbLl8,89,1,16000,2025/3/19,@KennethWright-j9t,cZ2GFRKbLl8
https://www.youtube.com//shorts/udqHq9WSicc,110,1,16000,2025/3/11,@JenniferPerez-r8e,udqHq9WSicc
https://www.youtube.com//shorts/kzg0CPWCEHk,142,2,16000,2025/3/6,@MargaretPerez-s5h,kzg0CPWCEHk
https://www.youtube.com//shorts/UAF0GMODlNY,75,1,15000,2025/3/21,@LauraJones-d2d6k,UAF0GMODlNY
https://www.youtube.com//shorts/_B6BnXJTGQc,134,1,15000,2025/3/18,@LauraJones-d2d6k,_B6BnXJTGQc
https://www.youtube.com//shorts/lbGUd-xZT3A,129,1,15000,2025/3/7,@JenniferPerez-r8e,lbGUd-xZT3A
https://www.youtube.com//shorts/t5oKo3qVneg,58,4,14000,2025/3/21,@MayshaHaque-j4q,t5oKo3qVneg
https://www.youtube.com//shorts/BgjMvTMiFC8,120,1,13000,2025/3/13,@MargaretPerez-s5h,BgjMvTMiFC8
https://www.youtube.com//shorts/t4_KjwnLnYg,86,1,13000,2025/3/11,@KennethWright-j9t,t4_KjwnLnYg
https://www.youtube.com//shorts/p-gNbnFBjzY,88,1,13000,2025/3/7,@LauraJones-d2d6k,p-gNbnFBjzY
https://www.youtube.com//shorts/T5fY09lwVfk,73,0,12000,2025/3/21,@KennethWright-j9t,T5fY09lwVfk
https://www.youtube.com//shorts/VNlNGo_9qmk,94,0,12000,2025/3/19,@LauraJones-d2d6k,VNlNGo_9qmk
https://www.youtube.com//shorts/YTByywnJud8,83,1,12000,2025/3/17,@KennethWright-j9t,YTByywnJud8
https://www.youtube.com//shorts/KYabnagYRBU,116,0,12000,2025/3/13,@EdwardHill-q5i,KYabnagYRBU
https://www.youtube.com//shorts/8FhNPtnuyGI,69,1,12000,2025/3/12,@LauraJones-d2d6k,8FhNPtnuyGI
https://www.youtube.com//shorts/91Bz6tOyots,121,0,11000,2025/3/19,@MargaretPerez-s5h,91Bz6tOyots
https://www.youtube.com//shorts/xUZIdvSe1K0,37,1,11000,2025/3/7,@LauraJones-d2d6k,xUZIdvSe1K0
https://www.youtube.com//shorts/azXb4w8hKa4,89,0,10000,2025/3/11,@KennethWright-j9t,azXb4w8hKa4
https://www.youtube.com//shorts/-PI9V48D0aw,100,0,10000,2025/3/7,@KennethWright-j9t,-PI9V48D0aw
https://www.youtube.com//shorts/1J9XaQVxSGA,82,0,9951,2025/3/10,@MargaretPerez-s5h,1J9XaQVxSGA
https://www.youtube.com//shorts/xybW4Q4xLBE,120,0,9748,2025/3/18,@MargaretPerez-s5h,xybW4Q4xLBE
https://www.youtube.com//shorts/rUfJXeNZHGM,73,1,8927,2025/3/4,@JenniferPerez-r8e,rUfJXeNZHGM
https://www.youtube.com//shorts/swOtgDy3v1Q,53,0,8798,2025/3/18,@KennethWright-j9t,swOtgDy3v1Q
https://www.youtube.com//shorts/QeLnMbK-ecY,89,0,8115,2025/3/20,@MargaretPerez-s5h,QeLnMbK-ecY
https://www.youtube.com//shorts/3qRHWpy8kvY,37,1,6781,2025/3/17,@MayshaHaque-j4q,3qRHWpy8kvY
https://www.youtube.com//shorts/YHD2aa54hcM,66,0,6252,2025/3/11,@MayshaHaque-j4q,YHD2aa54hcM
https://www.youtube.com//shorts/maGAe1Zr_nM,48,1,5846,2025/3/17,@LauraJones-d2d6k,maGAe1Zr_nM
https://www.youtube.com//shorts/v0RlBWJHLA8,46,0,4010,2025/3/4,@EdwardHill-q5i,v0RlBWJHLA8
https://www.youtube.com//shorts/HXuBHiVN1p4,48,1,3436,2025/3/12,@MargaretPerez-s5h,HXuBHiVN1p4
https://www.youtube.com//shorts/dofEBOKLlWo,46,0,3424,2025/3/11,@MayshaHaque-j4q,dofEBOKLlWo
