序號,痛點概述,痛點句,使用場景 / 背景,開場建議 / 腳本思路
1,反覆拖地，腰酸背痛，體力耗損,「每天都要拖地，腰酸背痛，你是不是也是這樣？」,- 家中地面面積大，清潔頻率高,- 開場建議：鏡頭從用戶彎腰拖地的疲憊畫面切入，拋出痛點疑問。
,,,- 上班族或老年人下班後/平時拖地很吃力,- 腳本思路：對比「人工拖地的辛苦」vs.「新機器一鍵操作」，結尾呼應「解放雙手、守護家人健康」
2,寵物毛髮四處飄散，難以清潔,「養寵物的你，是不是每天都在撿毛？！」,- 家中養貓/狗，尤其是換毛季,- 開場建議：先特寫地板/沙發底下堆積的毛髮，字幕或旁白點出「煩惱！」
,,,- 地板、沙發縫或角落容易積毛,- 腳本思路：機器強力吸拖示範，一次搞定，結合過濾系統避免二次揚塵。
3,拖完地還是濕漉漉，容易滑倒或有水漬殘留,「是不是每次拖完地，還濕答答、怕家人滑倒？」,- 拖地水分太多，無法快速烘乾,- 開場建議：場景化演繹寶寶或老人差點滑倒，強化安全痛點。
,,,- 有小孩或老人，滑倒風險高,- 腳本思路：展示「滾刷+熱風烘乾」或「吸拖同步」技術，地板秒乾；對比傳統拖地還殘留水漬的畫面。
4,拖布/刷頭易變髒，清洗麻煩且費時費水,「每次拖完地，還要自己洗那條又黑又臭的拖布，超煩的吧？」,- 手洗拖布沾滿汙水，污染雙手,- 開場建議：用戶手洗拖布的髒水畫面，表情厭惡。
,,,- 清洗繁瑣、耗水量大,- 腳本思路：機器一鍵自清洗特寫，乾淨又不沾手；強調衛生與省時省力。
5,角落、縫隙難以清理，藏污納垢,「你知道沙發底下或地板縫裡，可能早就灰塵滿滿嗎？」,- 家具底部、邊邊角角積灰,- 開場建議：先拍出灰塵堆積的死角，震驚視角。
,,,- 傳統拖把或吸塵器大頭無法深入,- 腳本思路：展示機器靈活滾刷或超薄機身深入角落；在鏡頭前對比清潔前後成果，突顯「全覆蓋、無死角」優勢。
6,操作複雜、保養麻煩，研究說明書浪費時間,「買了貴鬆鬆的清潔神器，卻要研究兩天說明書？」,- 有些機器設計繁瑣，模組難拆難裝,- 開場建議：展示用戶摸索按鍵不斷翻說明書、皺眉頭。
,,,- 用戶缺乏時間或耐心去熟悉功能,- 腳本思路：強調「一鍵啟動、智能操作」，拆裝示範 3 秒搞定；可帶上品牌售後支持、簡單好維護。
7,大戶型續航不足，清潔時間長,「家裡太大，打掃到一半就沒電，超抓狂！」,- 電池容量不足或充電慢,- 開場建議：先拍出「清潔一半電量耗盡」的尷尬場景。
,,,- 大面積房屋要多次清潔才能完成,- 腳本思路：凸顯大容量電池或快充模式，一次搞定全屋；同步強調效率提升，節省用戶寶貴時間。
8,商品價格較高，擔心投資回報,「這麼貴的機器，真的值得買嗎？」,- 預算考量，不確定功能與實用性,- 開場建議：以用戶猶豫態度切入，點出「覺得貴」。
,,,- 擔心買回來用不到,- 腳本思路：比較「長期請家政費」或「傳統耗材費」 vs. 一次性投資；顯示多功能合一、CP值高，用戶好評案例加強說服力。
9,售後維修成本顧慮，擔心壞了麻煩,「如果機器壞了，維修是不是又要花大錢？」,- 擔心零件價格、保固範圍,- 開場建議：先拋出「常見故障」的用戶憂慮。
,,,- 害怕品牌沒有完善維修管道,- 腳本思路：展示官方售後政策、保修年限、全國維修網點，並透過用戶正面評價增強信任。
10,噪音過大，影響家人休息或鄰居,「打掃聲音超大，怕吵到寶寶午睡或鄰居抗議嗎？」,- 噪音困擾，尤其有小孩/老人,- 開場建議：分貝對比畫面（傳統機器 vs. 新機器），讓觀眾直觀感受噪音差異。
,,,- 可能被投訴或影響家人作息,- 腳本思路：呈現產品靜音模式或降噪馬達技術；拍攝母嬰家庭場景，強調「安靜運行、不打擾」。
11,不同地板材質或家中障礙物，導致清潔難度大,「木地板、地毯、瓷磚……要換好幾種工具，你也頭痛嗎？」,- 多材質地面清潔需求,- 開場建議：先讓觀眾看到「切換各種清潔工具」的繁瑣過程。
,,,- 傳統工具需要分開處理，不同刷頭或拖具,- 腳本思路：強調多功能一體化；示範機器針對地毯、瓷磚、木地板的效果，同時降低改裝成本與時間。
12,擔心清潔力度不夠，懷疑機器真能洗乾淨嗎？,「機器真的比人工拖地還乾淨？我有點懷疑…」,- 用戶不確定產品效能,- 開場建議：以半信半疑的語氣開場，製造懸念。
,,,- 曾有其他清潔機器踩雷經驗,- 腳本思路：實測「頑固汙漬 / 油漬 / 嬰兒爬行痕跡」等棘手場景，前後對比。結合拆解滾刷或汙水槽特寫，證明真的徹底吸乾淨。
